PKEMP;PROC;EMPRESA;BALCO_CREDITO;BALCO_DEBITO;ANO;BALCO_CREDITONOME;BALCO_DEBITONOME;NEMPG;TPEM;DATAE;NOME;VINCULO;FONTE_GRUPO_NOME;FONTE_CODIGO_NOME;CA_GRUPO_NOME;CA_NOME;VINCULONOME;PROGRAMA;PROGRAMANOME;PROJATIV;PROJATIVNOME;ACAO;ACAONOME;CATEC;CATECNOME;FUNCAO;SUBFUNCAO;CATEGORIA;GRUPO;MODALIDADE;MODALIDADENOME;ELEMENTO;ELEMENTONOME;VINGRUPO;FONGRUPO;FONCODIGO;VINGRUPONOME;VINCODIGO;EMPRESANOME;TIPONOME;FORNECEDORNOME;CNPJCPF;FONGRUPONOME;FONCODIGONOME;VINCODIGONOME;CATEGORIANOME;GRUPONOME;FUNCAONOME;SUBFUNCAONOME;PODERNOME;ORGAONOME;UNIDADENOME;PODER;ORGAO;UNIDADE;TIPO;FUNDLEGAL;FONTE;FICHA;CONTRATO;CONTRATONUM;TERMO;CONVENIO;CODOBRA;RESERVA;NUMPED;FONRO;FONRONOME;CFPRO;CFPRONOME;CODLO;LICIT;HISTORICO_COMPLETO;NUMLIC;NUMLICMOD;HISTORICO;EMAIL_FORNECEDOR;EMAIL_PESSOAL_FORNECEDOR;SITE_FORNECEDOR;VADEM;REFORCO;VADEMANULADO;VALIQ;ALIQUIDAR;VAPAG;APAGAR;CCUSTO;CCUSTONOME;FORNECEDOR_CNPJCPF;DESDOBRO;DESDOBRONOME;FUNDO;FUNDOABREVIADO;FUNDONOME;EVGRUPO;EVCODIGO;EVGRUPONOME;EVCODIGONOME;CODMOD;ANOMOD;MASCMOD;DESCMODLEI;DESCMOD;SIGLAMOD;MASCMODLIC;FONTE_STN;FONTE_STNNOME;CPECULIAR;INCISO;CLASSIFICACAO_SCPI;CLASSIFICACAO_MSC;CATEC_STN;SUBDESDOBRO;SUBDESDOBRONOME;CLASSIFICACAO_SCPINOME;CLASSIFICACAO_MSCNOME;DESCONTO;CONTRATONUM_1;CONTROLE_ATA_RP;DISCR;DISCR_DETALHE;CPECULIARNOME;FONINDUSO;EM_LIQUIDACAO;MSG_SEM_REG;FONTE_STN_COMPLNOME;CODOBRANOME;FONTE_STN_COMPL;ORDEMCROTIPOE;ORDEMCROTIPOENOME;CODIF;TCERJ_CONTRATO;TCERJ_LICITACAO;OBS_DIVERSAS;CONVENIO_TERMO_ADITIVO;CONVENIO_DTLAN_ADITIVO;CIDADE_FOR;NUMCONV;NUMERO_EMENDA;
67;;1;211110101;311210101;2025;SALÁRIOS, REMUNERAÇÕES E BENEFÍCIOS (F);VENCIMENTOS E SALÁRIOS;67;OR;02/01/2025;FOLHA DE PGT - SERVICOS FUNERARIOS;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.1.90.11.01;VENCIMENTOS E SALÁRIOS;15;451;3;1;90;APLICAÇÕES DIRETAS;11;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;FOLHA DE PGT - SERVICOS FUNERARIOS;48.664.296/0001-71;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;OUTRO NÃO APLICÁVEL;0.01.00;320;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;OUTRO NÃO APLICÁVEL;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Adto. Salario Mês ID:(2455);;;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Adto. Salario Mês ID:(2455);;;;714,77;0;0;714,77;0;714,77;0;032-001;PESSOAL CIVIL;48.664.296/0001-71;01;VENCIMENTOS E SALÁRIOS;;;;032;001;GASTO COM PESSOAL;PESSOAL CIVIL;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.1.90.11.01;;;Não Informado;Não Informado;0;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;20115;0 - Contrato a ser vinculado posteriormente;;;;;;;;
70;;1;211110101;311210101;2025;SALÁRIOS, REMUNERAÇÕES E BENEFÍCIOS (F);VENCIMENTOS E SALÁRIOS;70;OR;02/01/2025;FOLHA DE PGT - SETOR DE ENGENHARIA;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.1.90.11.01;VENCIMENTOS E SALÁRIOS;15;451;3;1;90;APLICAÇÕES DIRETAS;11;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;FOLHA DE PGT - SETOR DE ENGENHARIA;48.664.296/0001-71;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;OUTRO NÃO APLICÁVEL;0.01.00;320;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;OUTRO NÃO APLICÁVEL;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Adto. Salario Mês ID:(2455);;;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Adto. Salario Mês ID:(2455);;;;5776,57;0;0;5776,57;0;5776,57;0;032-001;PESSOAL CIVIL;48.664.296/0001-71;01;VENCIMENTOS E SALÁRIOS;;;;032;001;GASTO COM PESSOAL;PESSOAL CIVIL;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.1.90.11.01;;;Não Informado;Não Informado;0;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;20118;0 - Contrato a ser vinculado posteriormente;;;;;;;;
93;;1;211110101;311210101;2025;SALÁRIOS, REMUNERAÇÕES E BENEFÍCIOS (F);VENCIMENTOS E SALÁRIOS;93;OR;02/01/2025;FOLHA DE PGT - ENGENHARIA E OBRAS;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.1.90.11.01;VENCIMENTOS E SALÁRIOS;15;451;3;1;90;APLICAÇÕES DIRETAS;11;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;FOLHA DE PGT - ENGENHARIA E OBRAS;48.664.296/0001-71;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;OUTRO NÃO APLICÁVEL;0.01.00;320;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;OUTRO NÃO APLICÁVEL;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Adto. Salario Mês ID:(2455);;;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Adto. Salario Mês ID:(2455);;;;6134,43;0;0;6134,43;0;6134,43;0;032-001;PESSOAL CIVIL;48.664.296/0001-71;01;VENCIMENTOS E SALÁRIOS;;;;032;001;GASTO COM PESSOAL;PESSOAL CIVIL;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.1.90.11.01;;;Não Informado;Não Informado;0;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;20150;0 - Contrato a ser vinculado posteriormente;;;;;;;;
106;;1;211110101;311210101;2025;SALÁRIOS, REMUNERAÇÕES E BENEFÍCIOS (F);VENCIMENTOS E SALÁRIOS;106;OR;02/01/2025;FOLHA DE PGT - DIRETORIA DE SERVIÇOS URBANOS;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.1.90.11.01;VENCIMENTOS E SALÁRIOS;15;451;3;1;90;APLICAÇÕES DIRETAS;11;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;FOLHA DE PGT - DIRETORIA DE SERVIÇOS URBANOS;48.664.296/0001-71;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;OUTRO NÃO APLICÁVEL;0.01.00;320;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;OUTRO NÃO APLICÁVEL;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Adto. Salario Mês ID:(2455);;;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Adto. Salario Mês ID:(2455);;;;1099,12;0;0;1099,12;0;1099,12;0;032-001;PESSOAL CIVIL;48.664.296/0001-71;01;VENCIMENTOS E SALÁRIOS;;;;032;001;GASTO COM PESSOAL;PESSOAL CIVIL;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.1.90.11.01;;;Não Informado;Não Informado;0;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;21441;0 - Contrato a ser vinculado posteriormente;;;;;;;;
746;;1;213110101;332311400;2025;FORNECEDORES NÃO PARCELADOS A PAGAR (F);ASSINATURAS DE PERIÓDICOS E ANUIDADES;231;OR;22/01/2025;CAIXA ECONOMICA FEDERAL - F.G.T.S.;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.3.90.39.01;ASSINATURAS DE PERIÓDICOS E ANUIDADES;15;451;3;3;90;APLICAÇÕES DIRETAS;39;OUTROS SERVIÇOS DE TERCEIROS -  PESSOA JURÍDICA;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;CAIXA ECONOMICA FEDERAL - F.G.T.S.;00.360.305/0001-04;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;OUTRAS DESPESAS CORRENTES;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;DISPENSA;0.01.00;324;;;;;;61;00057/25;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;DISPENSA;Pedido gerado para atender a demanda do departamento na contratação de oficina de capacitação padronizada via Caixa Políticas Públicas - CPP curso ministrado exclusivamente pela Caixa Econômica Federal. Contratação se faz necessária para capacitar a Assessora de Convênios em suas atribuições nesta Administração Pública.;;;Pedido gerado para atender a demanda do departamento na contratação de oficina de capacitação padronizada via Caixa Políticas Públicas - CPP curso ministrado exclusivamente pela Caixa Econômica Federal. Contratação se faz necessária para capacitar a Asse;;;;2300;0;0;2300;0;2300;0;001-008;CURSOS DE CAPACITAÇÃO;00.360.305/0001-04;01;ASSINATURAS DE PERIÓDICOS E ANUIDADES;;;;001;008;ADMINISTRAÇÃO;CURSOS DE CAPACITAÇÃO;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.3.90.39.99;;;Não Informado;Não Informado;55,2;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;19938;0 - Contrato a ser vinculado posteriormente;;;;;BRASILIA;;;
759;;1;213110101;332315100;2025;FORNECEDORES NÃO PARCELADOS A PAGAR (F);SERVIÇOS TÉCNICOS PROFISSIONAIS;244;OR;23/01/2025;CONSELHO REGIONAL DE URBANISMO/SP;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.3.90.39.05;SERVIÇOS TÉCNICOS PROFISSIONAIS;15;451;3;3;90;APLICAÇÕES DIRETAS;39;OUTROS SERVIÇOS DE TERCEIROS -  PESSOA JURÍDICA;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;CONSELHO REGIONAL DE URBANISMO/SP;15.131.560/0001-52;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;OUTRAS DESPESAS CORRENTES;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;DISPENSA;0.01.00;324;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;DISPENSA;PAGAMENTO DE RRT DO PROFISSIONAL ANDERSON ODAIR ROSSI PARA ACOMPANHAMENTO DE OBRA DA NOVA ESCOLA INTEGRAL PAC- CONVENIOS;;;PAGAMENTO DE RRT DO PROFISSIONAL ANDERSON ODAIR ROSSI PARA ACOMPANHAMENTO DE OBRA DA NOVA ESCOLA INTEGRAL PAC- CONVENIOS;;;;125,4;0;0;125,4;0;125,4;0;034-001;ENGENHARIA;15.131.560/0001-52;05;SERVIÇOS TÉCNICOS PROFISSIONAIS;;;;034;001;SECRETARIA DE OBRAS E SERVIÇOS;ENGENHARIA;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.3.90.39.99;;;Não Informado;Não Informado;0;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;20279;0 - Contrato a ser vinculado posteriormente;;;;;SÃO PAULO;;;
908;;1;211110101;311210101;2025;SALÁRIOS, REMUNERAÇÕES E BENEFÍCIOS (F);VENCIMENTOS E SALÁRIOS;372;OR;27/01/2025;FOLHA DE PGT - SETOR DE ENGENHARIA;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.1.90.11.01;VENCIMENTOS E SALÁRIOS;15;451;3;1;90;APLICAÇÕES DIRETAS;11;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;FOLHA DE PGT - SETOR DE ENGENHARIA;48.664.296/0001-71;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;OUTRO NÃO APLICÁVEL;0.01.00;320;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;OUTRO NÃO APLICÁVEL;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Folha Mensal ID:(2461) ;;;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Folha Mensal ID:(2461) ;;;;14274,26;0;0;14274,26;0;14274,26;0;032-001;PESSOAL CIVIL;48.664.296/0001-71;01;VENCIMENTOS E SALÁRIOS;;;;032;001;GASTO COM PESSOAL;PESSOAL CIVIL;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.1.90.11.01;;;Não Informado;Não Informado;8429,56;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;20118;0 - Contrato a ser vinculado posteriormente;;;;;;;;
910;;1;211110112;311210122;2025;DECIMO TERCEIRO SALÁRIO (F);13º SALÁRIO;373;OR;27/01/2025;FOLHA DE PGT - SETOR DE ENGENHARIA;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.1.90.11.01;VENCIMENTOS E SALÁRIOS;15;451;3;1;90;APLICAÇÕES DIRETAS;11;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;FOLHA DE PGT - SETOR DE ENGENHARIA;48.664.296/0001-71;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;OUTRO NÃO APLICÁVEL;0.01.00;320;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;OUTRO NÃO APLICÁVEL;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Folha Mensal ID:(2461) ;;;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Folha Mensal ID:(2461) ;;;;2348,42;0;0;2348,42;0;2348,42;0;032-001;PESSOAL CIVIL;48.664.296/0001-71;01;VENCIMENTOS E SALÁRIOS;;;;032;001;GASTO COM PESSOAL;PESSOAL CIVIL;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.1.90.11.01;;;Não Informado;Não Informado;0;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;20118;0 - Contrato a ser vinculado posteriormente;;;;;;;;
911;;1;211410501;312310100;2025;FGTS (F);FGTS;374;OR;27/01/2025;CAIXA ECONOMICA FEDERAL;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.1.90.13.01;FGTS;15;451;3;1;90;APLICAÇÕES DIRETAS;13;OBRIGAÇÕES PATRONAIS;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;CAIXA ECONOMICA FEDERAL;00.360.305/0001-04;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;OUTRO NÃO APLICÁVEL;0.01.00;321;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;OUTRO NÃO APLICÁVEL;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Folha Mensal ID:(2461) ;;;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Folha Mensal ID:(2461) ;;;;3029,87;0;0;3029,87;0;3029,87;0;032-008;F.G.T.S;00.360.305/0001-04;01;FGTS;;;;032;008;GASTO COM PESSOAL;F.G.T.S;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.1.90.13.01;;;Não Informado;Não Informado;0;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;20260;0 - Contrato a ser vinculado posteriormente;;;;;BRASILIA;;;
912;;1;211430101;312230100;2025;CONTRIBUIÇÕES AO RGPS - CONTRIBUIÇÃO SOBRE SALÁRIOS E REMUNERAÇÕES (F);CONTRIBUIÇÕES PREVIDENCIÁRIAS - RGPS;375;OR;27/01/2025;INSS - INSTITUTO NACIONAL DO SEG. SOCIAL;110.000;TESOURO;Recursos Ordinarios;GERAL;GERAL;GERAL;0041;DESENVOLVIMENTO URBANO;2024;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;3.1.90.13.02;CONTRIBUIÇÕES PREVIDENCIÁRIAS - INSS;15;451;3;1;90;APLICAÇÕES DIRETAS;13;OBRIGAÇÕES PATRONAIS;110;01;00;GERAL;000;PREFEITURA MUNICIPAL DE PRADOPOLIS;NAO VINCULADO;INSS - INSTITUTO NACIONAL DO SEG. SOCIAL;29.979.036/0001-40;TESOURO;Recursos Ordinarios;GERAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;Urbanismo;Infra-Estrutura Urbana;PODER EXECUTIVO;DEPART. MUN  DE PLANEJ. URBANO, OBRAS, SANEAM. E DEFESA;SERVIÇOS URBANOS;02;0209;020910;NV;OUTRO NÃO APLICÁVEL;0.01.00;321;;;;;;;;;;15.451.0041.2024.0000;MANUTENCAO DA SECRETARIA DE OBRAS E SERVICOS;020910;OUTRO NÃO APLICÁVEL;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Folha Mensal ID:(2461) ;;;INCORPORAÇÃO DA FOLHA DE PAGAMENTO - REF.: 01/2025 - Folha Mensal ID:(2461) ;;;;5852,2;0;0;5852,2;0;5852,2;0;032-011;INSS-SEGURADOS;29.979.036/0001-40;02;CONTRIBUIÇÕES PREVIDENCIÁRIAS - INSS;;;;032;011;GASTO COM PESSOAL;INSS-SEGURADOS;;;;;;;;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);;;;;3.1.90.13.02;;;Não Informado;Não Informado;0;;;;;;0;0;;0000-Não se Aplica;;0;;Não Informado;20096;0 - Contrato a ser vinculado posteriormente;;;;;;;;
